node_1,node_2,weight
Brazil,Cayman Islands,42.0
Brazil,China,7.0
Brazil,Cyprus,2.0
Brazil,Hong Kong,11.0
Brazil,Ireland,3.0
Brazil,Isle of Man,6.0
Brazil,Nevada,264.0
Brazil,New Zealand,2.0
Brazil,Niue,182.0
Brazil,Panama,1044.0
Brazil,Russia,10.0
Brazil,Samoa,86.0
Brazil,Seychelles,159.0
Brazil,Singapore,1.0
Brazil,United Arab Emirates,2.0
Brazil,United Kingdom,25.0
Brazil,United States,1.0
Brazil,Uruguay,2.0
Brazil,Wyoming,8.0
Barbados,British Anguilla,14.0
British Anguilla,British Anguilla,42.0
British Anguilla,British Virgin Islands,18.0
British Anguilla,China,298.0
British Anguilla,Hong Kong,2738.0
British Anguilla,Ireland,3.0
British Anguilla,Panama,557.0
British Anguilla,Russia,148.0
British Anguilla,United Kingdom,66.0
British Virgin Islands,Canada,971.5
British Virgin Islands,Cayman Islands,2466.0
British Virgin Islands,China,11312.0
British Virgin Islands,Cook Islands,469.5
British Virgin Islands,Croatia,12.5
British Virgin Islands,Curaçao,39.5
British Virgin Islands,Cyprus,4696.5
British Virgin Islands,Czech Republic,86.0
British Virgin Islands,Germany,224.5
British Virgin Islands,Gibraltar,3215.5
British Virgin Islands,Hong Kong,66262.5
British Virgin Islands,Ireland,591.0
British Virgin Islands,Isle of Man,6156.5
British Virgin Islands,Israel,452.5
British Virgin Islands,Jersey,21389.5
British Virgin Islands,Labuan,0.5
British Virgin Islands,Latvia,2723.0
British Virgin Islands,Luxembourg,6204.5
British Virgin Islands,Malaysia,1338.5
British Virgin Islands,Malta,956.0
British Virgin Islands,Marshall Islands,5.5
British Virgin Islands,Mauritius,1943.0
British Virgin Islands,Netherlands,236.5
British Virgin Islands,Nevada,4.0
British Virgin Islands,Niue,31.0
British Virgin Islands,Panama,10302.5
British Virgin Islands,Russia,6900.5
British Virgin Islands,Saint Kitts and Nevis,208.5
British Virgin Islands,Samoa,938.5
British Virgin Islands,Seychelles,603.5
British Virgin Islands,Singapore,11562.0
British Virgin Islands,South Africa,191.5
British Virgin Islands,State of Delaware,2.0
British Virgin Islands,Sweden,77.0
British Virgin Islands,Switzerland,39777.5
British Virgin Islands,Thailand,1864.5
British Virgin Islands,Turks and Caicos Islands,26.0
British Virgin Islands,Ukraine,430.5
British Virgin Islands,United Arab Emirates,7440.0
British Virgin Islands,United Kingdom,12570.0
British Virgin Islands,United States,6673.0
British Virgin Islands,Brunei,33.5
Brunei,China,1.0
Brunei,Cyprus,4.0
Brunei,Hong Kong,11.0
Brunei,Russia,9.0
Brunei,Saint Kitts and Nevis,2.0
Brunei,Seychelles,2.0
Brunei,United Kingdom,7.0
Brunei,United States,1.0
Bahamas,Bulgaria,4.0
British Virgin Islands,Bulgaria,49.0
Bulgaria,China,1.0
Bulgaria,Hong Kong,2.0
Bulgaria,Ireland,1.0
Bulgaria,Niue,2.0
Bulgaria,Panama,11.0
Bulgaria,Russia,2.0
Bulgaria,Seychelles,44.0
Bulgaria,United Kingdom,2.0
Bulgaria,United States,1.0
British Virgin Islands,Cambodia,8.0
Cambodia,China,1.0
Cambodia,Hong Kong,3.0
Cambodia,Ireland,2.0
Cambodia,Panama,1.0
Cambodia,Russia,2.0
Cambodia,United Kingdom,2.0
Cameroon,Seychelles,2.0
Barbados,Canada,264.0
British Anguilla,Canada,4.0
Canada,Cayman Islands,137.5
Canada,China,179.0
Canada,Cook Islands,15.5
Canada,Curaçao,1.0
Canada,Cyprus,44.0
Canada,Gibraltar,4.0
Canada,Hong Kong,410.0
Canada,Indonesia,57.0
Canada,Ireland,30.0
Canada,Isle of Man,10.0
Canada,Jersey,5.0
Canada,Labuan,1.0
Canada,Latvia,11.0
Canada,Luxembourg,5.0
Canada,Malaysia,27.0
Canada,Mauritius,5.0
Canada,Netherlands,1.0
Canada,Nevada,4.0
Canada,Niue,62.0
Canada,Panama,207.0
Canada,Russia,139.0
Canada,Saint Kitts and Nevis,11.0
Canada,Samoa,24.0
Canada,Seychelles,52.0
Canada,Singapore,99.0
Canada,South Africa,2.0
Canada,Switzerland,10.0
Canada,Ukraine,5.0
Canada,United Arab Emirates,19.0
Canada,United Kingdom,131.0
Canada,United States,119.0
Aruba,Cayman Islands,4.0
Cayman Islands,China,311.5
Cayman Islands,Cook Islands,72.5
Cayman Islands,Cyprus,52.0
Cayman Islands,Gibraltar,4.0
Cayman Islands,Grenada,2.0
Cayman Islands,Guernsey,26.0
Cayman Islands,Hong Kong,732.5
Cayman Islands,Ireland,39.0
Cayman Islands,Isle of Man,40.0
Cayman Islands,Jersey,29.0
Cayman Islands,Latvia,10.0
Cayman Islands,Liberia,2.0
Cayman Islands,Liechtenstein,11.0
Cayman Islands,Luxembourg,24.0
Cayman Islands,Malta,2.0
Cayman Islands,Marshall Islands,4.0
Cayman Islands,Netherlands,16.0
Cayman Islands,Netherlands Antilles,4.0
Cayman Islands,New Zealand,5.0
Cayman Islands,Niue,2.0
Cayman Islands,Panama,142.0
Cayman Islands,Russia,82.5
Cayman Islands,Saint Kitts and Nevis,197.0
Cayman Islands,Saint Vincent and the Grenadines,24.0
Cayman Islands,Samoa,1713.0
Cayman Islands,Seychelles,21.0
Cayman Islands,Singapore,84.0
Cayman Islands,State of Delaware,232.0
Cayman Islands,Sweden,1.0
Cayman Islands,Switzerland,88.0
Cayman Islands,Turks and Caicos Islands,3.0
Cayman Islands,US Virgin Islands,2.0
Cayman Islands,Ukraine,1.0
Cayman Islands,United Arab Emirates,23.0
Cayman Islands,United Kingdom,270.0
Cayman Islands,United States,1060.0
British Virgin Islands,Central African Republic,2.0
British Virgin Islands,Chad,20.0
Chad,Panama,2.0
Bahamas,Chile,28.0
Barbados,Chile,2.0
Bermuda,Chile,2.0
British Anguilla,Chile,4.0
British Virgin Islands,Chile,93.0
Canada,Chile,1.0
Chile,China,3.0
Chile,Costa Rica,2.0
Chile,Cyprus,3.0
Chile,Hong Kong,7.0
Chile,Ireland,2.0
Chile,Nevada,12.0
Chile,Panama,173.0
Chile,Russia,10.0
Chile,Seychelles,4.0
Chile,United Kingdom,6.0
Chile,United States,3.0
Chile,Wyoming,2.0
Austria,China,10.0
China,Cook Islands,10.0
China,Croatia,2.0
China,Curaçao,7.0
China,Cyprus,528.0
China,Czech Republic,16.0
China,France,5.0
China,Georgia,3.0
China,Germany,12.0
China,Gibraltar,15.0
China,Hong Kong,2517.0
China,Ireland,401.0
China,Isle of Man,4.0
China,Israel,18.0
China,Jersey,68.0
China,Kazakhstan,10.0
China,Labuan,0.5
China,Latvia,170.0
China,Luxembourg,49.0
China,Malaysia,53.0
China,Malta,15.0
China,Mauritius,20.0
China,Netherlands,17.0
China,Nevada,18.0
China,Niue,24.0
China,Panama,704.0
China,Russia,1723.0
China,Saint Kitts and Nevis,146.0
China,Samoa,771.5
China,Serbia,3.0
China,Seychelles,1511.0
China,Singapore,191.5
China,South Africa,8.0
China,Sweden,10.0
China,Switzerland,39.0
China,Thailand,18.0
China,Turks and Caicos Islands,3.0
China,US Virgin Islands,45.0
China,Ukraine,36.0
China,United Arab Emirates,139.0
China,United Kingdom,2102.0
China,United States,699.0
China,Vanuatu,5.0
Bahamas,Colombia,44.0
Belize,Colombia,38.0
Bermuda,Colombia,4.0
British Anguilla,Colombia,118.0
British Virgin Islands,Colombia,541.0
Cayman Islands,Colombia,6.0
Colombia,Costa Rica,84.0
Colombia,Cyprus,4.0
Colombia,Hong Kong,5.0
Colombia,Ireland,1.0
Colombia,Latvia,1.0
Colombia,Luxembourg,1.0
Colombia,Malta,2.0
Colombia,Nevada,20.0
Colombia,New Zealand,6.0
Colombia,Niue,4.0
Colombia,Panama,2715.0
Colombia,Russia,4.0
Colombia,Saint Kitts and Nevis,6.0
Colombia,Samoa,12.0
Colombia,Seychelles,36.0
Colombia,United Kingdom,104.0
Colombia,United States,1.0
Colombia,Uruguay,2.0
British Virgin Islands,Congo,3.0
Congo,Ireland,1.0
Congo,Russia,1.0
Congo,Singapore,1.0
Antigua and Barbuda,Cook Islands,1.0
Austria,Cook Islands,1.0
Cook Islands,Cyprus,24.0
Cook Islands,Gibraltar,1.0
Cook Islands,Hong Kong,127.0
Cook Islands,Indonesia,14.0
Cook Islands,Ireland,23.0
Cook Islands,Jersey,5.0
Cook Islands,Latvia,7.5
Cook Islands,Netherlands,1.5
Cook Islands,Niue,2.0
Cook Islands,Panama,34.5
Cook Islands,Russia,65.0
Cook Islands,Saint Kitts and Nevis,15.0
Cook Islands,Samoa,4.0
Cook Islands,Seychelles,7.5
Cook Islands,Singapore,106.0
Cook Islands,Switzerland,9.0
Cook Islands,Turks and Caicos Islands,1.5
Cook Islands,United Arab Emirates,9.0
Cook Islands,United Kingdom,108.5
Cook Islands,United States,105.0
British Anguilla,Costa Rica,22.0
British Virgin Islands,Costa Rica,288.0
Cayman Islands,Costa Rica,4.0
China,Costa Rica,1.0
Costa Rica,Hong Kong,11.0
Costa Rica,Isle of Man,2.0
Costa Rica,Nevada,4.0
Costa Rica,Niue,8.0
Costa Rica,Panama,1383.0
Costa Rica,Russia,1.0
Costa Rica,Samoa,5.5
Costa Rica,Seychelles,4.0
Costa Rica,Singapore,1.0
Costa Rica,United Kingdom,3.0
Barbados,Croatia,2.0
Croatia,Cyprus,2.0
Croatia,Ireland,3.0
Croatia,Panama,3.0
Croatia,Russia,2.0
Croatia,Saint Kitts and Nevis,1.0
Barbados,Cuba,2.0
British Virgin Islands,Cuba,16.0
Cayman Islands,Cuba,2.0
Cuba,Panama,6.0
Barbados,Curaçao,38.0
Bermuda,Curaçao,2.0
Curaçao,Cyprus,2.0
Curaçao,Hong Kong,8.0
Curaçao,Ireland,1.0
Curaçao,Jersey,1.0
Curaçao,Panama,18.0
Curaçao,Russia,2.0
Curaçao,Seychelles,24.0
Curaçao,Singapore,3.5
Curaçao,United Arab Emirates,2.0
Curaçao,United Kingdom,2.0
Curaçao,United States,5.0
Antigua and Barbuda,Cyprus,4.0
British Anguilla,Cyprus,10.0
Cyprus,Czech Republic,7.0
Cyprus,Germany,20.0
Cyprus,Gibraltar,1.0
Cyprus,Hong Kong,801.0
Cyprus,Ireland,53.0
Cyprus,Isle of Man,24.0
Cyprus,Jersey,19.0
Cyprus,Labuan,1.0
Cyprus,Latvia,10.0
Cyprus,Luxembourg,16.0
Cyprus,Malaysia,91.0
Cyprus,Mauritius,8.0
Cyprus,Netherlands,7.0
Cyprus,Nevada,2.0
Cyprus,Niue,626.0
Cyprus,Panama,759.0
Cyprus,Russia,208.0
Cyprus,Saint Kitts and Nevis,21.0
Cyprus,Saint Lucia,1.5
Cyprus,Samoa,51.5
Cyprus,Seychelles,915.0
Cyprus,Singapore,235.0
Cyprus,Switzerland,41.0
Cyprus,Ukraine,5.0
Cyprus,United Arab Emirates,16.0
Cyprus,United Kingdom,232.0
Cyprus,United States,234.0
Bahamas,Czech Republic,4.0
Barbados,Czech Republic,2.0
Belize,Czech Republic,1.0
Canada,Czech Republic,1.0
Czech Republic,Hong Kong,27.0
Czech Republic,Ireland,1.0
Czech Republic,Isle of Man,2.0
Czech Republic,Netherlands,1.0
Czech Republic,Panama,15.0
Czech Republic,Russia,8.0
Czech Republic,Samoa,4.0
Czech Republic,Seychelles,3.0
Czech Republic,Singapore,5.0
Czech Republic,United Kingdom,5.0
British Virgin Islands,Côte d'Ivoire,22.0
Cyprus,Côte d'Ivoire,1.0
Côte d'Ivoire,Hong Kong,2.0
Côte d'Ivoire,Ireland,1.0
Côte d'Ivoire,Nevada,2.0
Côte d'Ivoire,Niue,2.0
Côte d'Ivoire,Panama,14.0
Côte d'Ivoire,Samoa,4.0
Côte d'Ivoire,United Kingdom,1.0
Bahamas,Denmark,8.0
Barbados,Denmark,2.0
Bermuda,Denmark,4.0
British Virgin Islands,Denmark,17.0
Denmark,Hong Kong,5.0
Denmark,Latvia,1.0
Denmark,Panama,9.0
Denmark,Russia,2.0
Denmark,Saint Kitts and Nevis,1.0
Denmark,Seychelles,5.0
Denmark,Ukraine,1.0
Denmark,United Kingdom,1.0
Denmark,United States,1.0
British Virgin Islands,Djibouti,1.0
Canada,Djibouti,2.0
China,Djibouti,1.0
Djibouti,Panama,2.0
Barbados,Dominica,2.0
British Virgin Islands,Dominica,9.0
Dominica,Hong Kong,2.0
Dominica,Israel,1.0
Dominica,Jersey,1.0
Dominica,Panama,124.0
Bahamas,Dominican Republic,16.0
Barbados,Dominican Republic,6.0
British Anguilla,Dominican Republic,48.0
British Virgin Islands,Dominican Republic,275.0
Canada,Dominican Republic,2.0
Cayman Islands,Dominican Republic,10.0
Cyprus,Dominican Republic,1.0
Dominican Republic,Hong Kong,4.0
Dominican Republic,Ireland,1.0
Dominican Republic,Panama,624.0
Dominican Republic,Saint Kitts and Nevis,1.0
Dominican Republic,Samoa,2.0
Dominican Republic,Seychelles,23.0
Dominican Republic,United Kingdom,4.0
Dominican Republic,United States,2.0
Bahamas,Ecuador,98.0
Barbados,Ecuador,4.0
Belize,Ecuador,10.0
Bermuda,Ecuador,2.0
British Anguilla,Ecuador,292.0
British Virgin Islands,Ecuador,507.0
Canada,Ecuador,1.0
Cayman Islands,Ecuador,2.0
Costa Rica,Ecuador,16.0
Ecuador,Hong Kong,7.0
Ecuador,Ireland,1.0
Ecuador,Nevada,398.0
Ecuador,New Zealand,18.0
Ecuador,Niue,52.0
Ecuador,Panama,2203.0
Ecuador,Samoa,40.0
Ecuador,Seychelles,52.0
Ecuador,United Kingdom,14.0
Ecuador,Uruguay,4.0
Bahamas,Egypt,10.0
Barbados,Egypt,2.0
Bermuda,Egypt,6.0
British Virgin Islands,Egypt,55.0
Cayman Islands,Egypt,2.0
China,Egypt,1.0
Cyprus,Egypt,2.0
Egypt,Hong Kong,5.0
Egypt,Panama,44.0
Egypt,Russia,8.0
Egypt,Seychelles,4.0
Egypt,United Kingdom,4.0
Bahamas,El Salvador,12.0
Barbados,El Salvador,4.0
British Anguilla,El Salvador,2.0
British Virgin Islands,El Salvador,40.0
China,El Salvador,1.0
El Salvador,Hong Kong,2.0
El Salvador,Nevada,14.0
El Salvador,Niue,2.0
El Salvador,Panama,391.0
El Salvador,Seychelles,10.0
Bahamas,Estonia,228.0
British Anguilla,Estonia,2.0
British Virgin Islands,Estonia,1295.5
China,Estonia,4.0
Cyprus,Estonia,4.0
Estonia,Hong Kong,2.0
Estonia,Isle of Man,2.0
Estonia,Malta,2.0
Estonia,Niue,136.0
Estonia,Panama,28.0
Estonia,Russia,1.0
Estonia,Samoa,6.0
Estonia,Seychelles,68.0
British Virgin Islands,Fiji,12.0
Canada,Fiji,1.0
Cook Islands,Fiji,2.0
Fiji,Hong Kong,2.0
Fiji,Ireland,2.0
Fiji,Latvia,1.0
Fiji,Russia,3.0
Fiji,Singapore,1.5
Fiji,United Kingdom,2.0
Fiji,United States,2.0
Bahamas,Finland,64.0
Belize,Finland,1.0
British Virgin Islands,Finland,71.5
Canada,Finland,1.0
Cayman Islands,Finland,14.0
China,Finland,3.0
Cyprus,Finland,2.0
Finland,Hong Kong,4.0
Finland,Niue,2.0
Finland,Panama,8.0
Finland,Russia,2.0
Finland,Saint Kitts and Nevis,1.0
Finland,Seychelles,8.0
Finland,Singapore,1.0
Finland,United Kingdom,7.0
Finland,United States,2.0
Antigua and Barbuda,France,1.0
Bahamas,France,46.0
Barbados,France,4.0
Bermuda,France,50.0
British Anguilla,France,20.0
British Virgin Islands,France,408.5
Canada,France,1.0
Cayman Islands,France,12.0
Cook Islands,France,3.0
Cyprus,France,8.5
France,Hong Kong,35.0
France,Indonesia,1.0
France,Ireland,8.0
France,Isle of Man,2.0
France,Jersey,1.0
France,Labuan,0.5
France,Latvia,2.0
France,Malaysia,1.0
France,Nevada,2.0
France,Niue,36.0
France,Panama,168.0
France,Russia,35.0
France,Saint Kitts and Nevis,3.0
France,Samoa,7.5
France,Seychelles,33.0
France,Singapore,2.0
France,United Arab Emirates,1.0
France,United Kingdom,38.0
France,United States,10.0
British Virgin Islands,French Guiana,40.0
Cayman Islands,French Guiana,16.0
French Guiana,Guernsey,4.0
British Virgin Islands,French Polynesia,14.0
French Polynesia,Hong Kong,4.0
French Polynesia,Latvia,2.0
French Polynesia,Panama,3.0
French Polynesia,Russia,3.0
French Polynesia,United Kingdom,6.0
French Polynesia,United States,2.0
British Virgin Islands,Gabon,2.0
Gabon,Panama,1.0
Gabon,Russia,2.0
British Anguilla,Georgia,2.0
British Virgin Islands,Georgia,8.0
Cook Islands,Georgia,0.5
Georgia,Ireland,2.0
Georgia,Panama,1.0
Georgia,Russia,1.0
Georgia,United Arab Emirates,1.0
Georgia,United Kingdom,2.0
Bahamas,Germany,2.0
Barbados,Germany,6.0
Belize,Germany,4.0
Bermuda,Germany,8.0
British Anguilla,Germany,2.0
Canada,Germany,8.0
Cayman Islands,Germany,10.0
Germany,Hong Kong,65.0
Germany,Ireland,11.0
Germany,Isle of Man,2.0
Germany,Jersey,3.0
Germany,Latvia,7.0
Germany,Luxembourg,2.0
Germany,Mauritius,1.0
Germany,Niue,4.0
Germany,Panama,273.0
Germany,Russia,32.0
Germany,Saint Kitts and Nevis,7.0
Germany,Samoa,1.5
Germany,Seychelles,23.0
Germany,United Arab Emirates,5.0
Germany,United Kingdom,37.0
Germany,United States,22.0
Bahamas,Ghana,2.0
British Anguilla,Ghana,2.0
British Virgin Islands,Ghana,5.0
Ghana,Hong Kong,1.0
Ghana,Russia,2.0
Ghana,United Kingdom,1.0
Ghana,United States,1.0
Barbados,Gibraltar,16.0
Belize,Gibraltar,4.0
Gibraltar,Hong Kong,22.0
Gibraltar,Ireland,4.0
Gibraltar,Isle of Man,9.0
Gibraltar,Jersey,1.0
Gibraltar,Luxembourg,1.0
Gibraltar,Malta,2.0
Gibraltar,Nevada,4.0
Gibraltar,Niue,56.0
Gibraltar,Panama,396.0
Gibraltar,Russia,11.0
Gibraltar,Samoa,30.0
Gibraltar,Seychelles,128.0
Gibraltar,Singapore,2.5
Gibraltar,Switzerland,1.0
Gibraltar,Thailand,2.0
Gibraltar,Ukraine,1.0
Gibraltar,United Kingdom,10.0
Gibraltar,United States,6.0
Bahamas,Greece,14.0
Bermuda,Greece,10.0
British Virgin Islands,Greece,172.0
Canada,Greece,4.0
Cayman Islands,Greece,2.0
China,Greece,7.0
Cyprus,Greece,3.0
Greece,Hong Kong,10.0
Greece,Ireland,2.0
Greece,Jersey,1.0
Greece,Liberia,2.0
Greece,Malta,1.0
Greece,Panama,273.0
Greece,Russia,13.0
Greece,Seychelles,43.0
Greece,United Arab Emirates,1.0
